"","pay","algorithm","sdev","n","s","rep"
"1",4,1,"0.05",10,10,1
"2",85,2,"0.05",10,10,1
"3",47,3,"0.05",10,10,1
"4",4,1,"0.1",10,10,1
"5",24,2,"0.1",10,10,1
"6",31,3,"0.1",10,10,1
"7",7.00000090028651,1,"0.5",10,10,1
"8",97.0000018005628,2,"0.5",10,10,1
"9",23,3,"0.5",10,10,1
"10",9.40517992163087,1,"1",10,10,1
"11",83.4464913682999,2,"1",10,10,1
"12",103.326320496488,3,"1",10,10,1
"13",89.2195298031238,1,"2",10,10,1
"14",110.722779816967,2,"2",10,10,1
"15",124.140552040599,3,"2",10,10,1
"16",151.372719920003,1,"5",10,10,1
"17",174.727694842653,2,"5",10,10,1
"18",148.06084618291,3,"5",10,10,1
"19",243.896426297458,1,"10",10,10,1
"20",242.623632802153,2,"10",10,10,1
"21",238.005734940875,3,"10",10,10,1
"22",58,1,"0.05",10,10,2
"23",58,2,"0.05",10,10,2
"24",82,3,"0.05",10,10,2
"25",58,1,"0.1",10,10,2
"26",58,2,"0.1",10,10,2
"27",142,3,"0.1",10,10,2
"28",59.2181085317488,1,"0.5",10,10,2
"29",69.0080514406755,2,"0.5",10,10,2
"30",142,3,"0.5",10,10,2
"31",66.5192991940719,1,"1",10,10,2
"32",89.3582924029642,2,"1",10,10,2
"33",124.323495664631,3,"1",10,10,2
"34",90.358558224043,1,"2",10,10,2
"35",90.5047676935112,2,"2",10,10,2
"36",145.800621340216,3,"2",10,10,2
"37",124.905783552287,1,"5",10,10,2
"38",140.341650643584,2,"5",10,10,2
"39",111.192185192848,3,"5",10,10,2
"40",190.921908397366,1,"10",10,10,2
"41",198.104144831038,2,"10",10,10,2
"42",178.32133819053,3,"10",10,10,2
"43",49,1,"0.05",10,10,3
"44",121,2,"0.05",10,10,3
"45",120,3,"0.05",10,10,3
"46",49,1,"0.1",10,10,3
"47",58,2,"0.1",10,10,3
"48",120,3,"0.1",10,10,3
"49",50.2180175738634,1,"0.5",10,10,3
"50",49.5974230478567,2,"0.5",10,10,3
"51",121.003120052431,3,"0.5",10,10,3
"52",52.3007245595376,1,"1",10,10,3
"53",70.4646173853288,2,"1",10,10,3
"54",129.690058450972,3,"1",10,10,3
"55",55.8387184522552,1,"2",10,10,3
"56",132.053408980939,2,"2",10,10,3
"57",144.915084192454,3,"2",10,10,3
"58",143.764905603641,1,"5",10,10,3
"59",118.837208701383,2,"5",10,10,3
"60",155.92238191941,3,"5",10,10,3
"61",176.62441499986,1,"10",10,10,3
"62",192.413683900568,2,"10",10,10,3
"63",161.245580941386,3,"10",10,10,3
"64",8,1,"0.05",10,10,4
"65",21,2,"0.05",10,10,4
"66",83,3,"0.05",10,10,4
"67",8,1,"0.1",10,10,4
"68",25,2,"0.1",10,10,4
"69",65,3,"0.1",10,10,4
"70",8.17255676010101,1,"0.5",10,10,4
"71",26.4930499056611,2,"0.5",10,10,4
"72",19.0552823792943,3,"0.5",10,10,4
"73",13.1486505167559,1,"1",10,10,4
"74",62.7129633620974,2,"1",10,10,4
"75",47.7982840267613,3,"1",10,10,4
"76",32.5450231695612,1,"2",10,10,4
"77",77.7520414486284,2,"2",10,10,4
"78",76.7630407015286,3,"2",10,10,4
"79",77.9245409590521,1,"5",10,10,4
"80",98.362437553017,2,"5",10,10,4
"81",57.2980230354881,3,"5",10,10,4
"82",108.944344412786,1,"10",10,10,4
"83",121.586557720678,2,"10",10,10,4
"84",89.0090328383028,3,"10",10,10,4
