"","pay","algorithm","sdev","n","s","rep"
"1",602.5,1,"0.05",20,20,1
"2",604.5,2,"0.05",20,20,1
"3",604.5,3,"0.05",20,20,1
"4",604.5,4,"0.05",20,20,1
"5",604.5,5,"0.05",20,20,1
"6",602.5,1,"0.1",20,20,1
"7",604.5,2,"0.1",20,20,1
"8",604.5,3,"0.1",20,20,1
"9",604.5,4,"0.1",20,20,1
"10",604.5,5,"0.1",20,20,1
"11",602.973673765468,1,"0.5",20,20,1
"12",604.975183347293,2,"0.5",20,20,1
"13",604.975183347293,3,"0.5",20,20,1
"14",604.975183347293,4,"0.5",20,20,1
"15",604.975183347293,5,"0.5",20,20,1
"16",610.166494103035,1,"1",20,20,1
"17",610.166494103035,2,"1",20,20,1
"18",610.166494103035,3,"1",20,20,1
"19",610.166494103035,4,"1",20,20,1
"20",610.166494103035,5,"1",20,20,1
"21",625.957862049725,1,"2",20,20,1
"22",625.957862049725,2,"2",20,20,1
"23",625.957862049725,3,"2",20,20,1
"24",625.957862049725,4,"2",20,20,1
"25",625.957862049725,5,"2",20,20,1
"26",669.013279623843,1,"5",20,20,1
"27",670.891644140728,2,"5",20,20,1
"28",670.891644140728,3,"5",20,20,1
"29",670.891644140728,4,"5",20,20,1
"30",670.891644140728,5,"5",20,20,1
"31",713.191739724276,1,"10",20,20,1
"32",713.739477697927,2,"10",20,20,1
"33",714.052915129673,3,"10",20,20,1
"34",714.052915129673,4,"10",20,20,1
"35",714.052915129673,5,"10",20,20,1
"36",624,1,"0.05",20,20,2
"37",624,2,"0.05",20,20,2
"38",624,3,"0.05",20,20,2
"39",624,4,"0.05",20,20,2
"40",624,5,"0.05",20,20,2
"41",624,1,"0.1",20,20,2
"42",624,2,"0.1",20,20,2
"43",624,3,"0.1",20,20,2
"44",624,4,"0.1",20,20,2
"45",624,5,"0.1",20,20,2
"46",628.766764443585,1,"0.5",20,20,2
"47",628.766764443585,2,"0.5",20,20,2
"48",628.766764443585,3,"0.5",20,20,2
"49",628.766764443585,4,"0.5",20,20,2
"50",628.766764443585,5,"0.5",20,20,2
"51",652.532092506848,1,"1",20,20,2
"52",652.532092506848,2,"1",20,20,2
"53",652.532092506848,3,"1",20,20,2
"54",652.532092506848,4,"1",20,20,2
"55",652.532092506848,5,"1",20,20,2
"56",679.731110416,1,"2",20,20,2
