"","pay","algorithm","sdev","n","s","rep"
"1",39,1,"0.05",5,5,1
"2",48,2,"0.05",5,5,1
"3",44,3,"0.05",5,5,1
"4",48,4,"0.05",5,5,1
"5",48,5,"0.05",5,5,1
"6",39,1,"0.1",5,5,1
"7",48,2,"0.1",5,5,1
"8",44,3,"0.1",5,5,1
"9",48,4,"0.1",5,5,1
"10",48,5,"0.1",5,5,1
"11",39.0003354626279,1,"0.5",5,5,1
"12",48,2,"0.5",5,5,1
"13",44,3,"0.5",5,5,1
"14",48,4,"0.5",5,5,1
"15",48,5,"0.5",5,5,1
"16",39.1353352832366,1,"1",5,5,1
"17",48,2,"1",5,5,1
"18",44,3,"1",5,5,1
"19",48,4,"1",5,5,1
"20",48,5,"1",5,5,1
"21",39.6065306597126,1,"2",5,5,1
"22",48,2,"2",5,5,1
"23",44,3,"2",5,5,1
"24",48,4,"2",5,5,1
"25",48,5,"2",5,5,1
"26",51.3028711372453,1,"5",5,5,1
"27",51.3028711372453,2,"5",5,5,1
"28",51.3028711372453,3,"5",5,5,1
"29",51.3028711372453,4,"5",5,5,1
"30",51.3028711372453,5,"5",5,5,1
"31",56.9032464740026,1,"10",5,5,1
"32",56.9032464740026,2,"10",5,5,1
"33",56.9032464740026,3,"10",5,5,1
"34",56.9032464740026,4,"10",5,5,1
"35",56.9032464740026,5,"10",5,5,1
"36",34,1,"0.05",5,5,2
"37",32,2,"0.05",5,5,2
"38",34,3,"0.05",5,5,2
"39",34,4,"0.05",5,5,2
"40",34,5,"0.05",5,5,2
"41",34,1,"0.1",5,5,2
"42",32,2,"0.1",5,5,2
"43",34,3,"0.1",5,5,2
"44",34,4,"0.1",5,5,2
"45",34,5,"0.1",5,5,2
"46",34.4076831628494,1,"0.5",5,5,2
"47",34.4076831628494,2,"0.5",5,5,2
"48",34.4076831628494,3,"0.5",5,5,2
"49",34.4076831628494,4,"0.5",5,5,2
"50",34.4076831628494,5,"0.5",5,5,2
"51",36.496268395321,1,"1",5,5,2
"52",36.496268395321,2,"1",5,5,2
"53",36.496268395321,3,"1",5,5,2
"54",36.496268395321,4,"1",5,5,2
"55",36.496268395321,5,"1",5,5,2
"56",40.2018248671774,1,"2",5,5,2
"57",40.2018248671774,2,"2",5,5,2
"58",40.2018248671774,3,"2",5,5,2
"59",40.2018248671774,4,"2",5,5,2
"60",40.2018248671774,5,"2",5,5,2
"61",52.7116029903596,1,"5",5,5,2
"62",53.2057923561258,2,"5",5,5,2
"63",53.2057923561258,3,"5",5,5,2
"64",53.2057923561258,4,"5",5,5,2
"65",53.2057923561258,5,"5",5,5,2
"66",57.9784190134848,1,"10",5,5,2
"67",58.1104265679855,2,"10",5,5,2
"68",58.1104265679855,3,"10",5,5,2
"69",58.1104265679855,4,"10",5,5,2
"70",58.1104265679855,5,"10",5,5,2
"71",45,1,"0.05",5,5,3
"72",96,2,"0.05",5,5,3
"73",96,3,"0.05",5,5,3
"74",96,4,"0.05",5,5,3
"75",96,5,"0.05",5,5,3
"76",45,1,"0.1",5,5,3
"77",96,2,"0.1",5,5,3
"78",96,3,"0.1",5,5,3
"79",96,4,"0.1",5,5,3
"80",96,5,"0.1",5,5,3
"81",55.9621579421656,1,"0.5",5,5,3
"82",96.5413411329465,2,"0.5",5,5,3
"83",96.5413411329465,3,"0.5",5,5,3
