"","pay","algorithm","sdev","n","s","rep"
"1",62,1,"0.05",10,10,1
"2",204,2,"0.05",10,10,1
"3",210,3,"0.05",10,10,1
"4",210,4,"0.05",10,10,1
"5",210,5,"0.05",10,10,1
"6",62,1,"0.1",10,10,1
"7",204,2,"0.1",10,10,1
"8",210,3,"0.1",10,10,1
"9",210,4,"0.1",10,10,1
"10",210,5,"0.1",10,10,1
"11",104.804198890135,1,"0.5",10,10,1
"12",205.357042921273,2,"0.5",10,10,1
"13",211.355701131681,3,"0.5",10,10,1
"14",211.355701131681,4,"0.5",10,10,1
"15",211.355701131681,5,"0.5",10,10,1
"16",110.143502525909,1,"1",10,10,1
"17",217.057093292589,2,"1",10,10,1
"18",217.057093292589,3,"1",10,10,1
"19",217.057093292589,4,"1",10,10,1
"20",217.057093292589,5,"1",10,10,1
"21",182.430250825865,1,"2",10,10,1
"22",225.930754824735,2,"2",10,10,1
"23",225.930754824735,3,"2",10,10,1
"24",225.930754824735,4,"2",10,10,1
"25",225.930754824735,5,"2",10,10,1
"26",237.835962955153,1,"5",10,10,1
"27",238.417618950477,2,"5",10,10,1
"28",238.417618950477,3,"5",10,10,1
"29",238.417618950477,4,"5",10,10,1
"30",238.417618950477,5,"5",10,10,1
"31",246.11310515474,1,"10",10,10,1
"32",246.11310515474,2,"10",10,10,1
"33",246.11310515474,3,"10",10,10,1
"34",246.11310515474,4,"10",10,10,1
"35",246.11310515474,5,"10",10,10,1
"36",36,1,"0.05",10,10,2
"37",104,2,"0.05",10,10,2
"38",105,3,"0.05",10,10,2
"39",105,4,"0.05",10,10,2
"40",105,5,"0.05",10,10,2
"41",36,1,"0.1",10,10,2
"42",104,2,"0.1",10,10,2
"43",105,3,"0.1",10,10,2
"44",105,4,"0.1",10,10,2
"45",105,5,"0.1",10,10,2
"46",44.2480467976787,1,"0.5",10,10,2
"47",104.00000001523,2,"0.5",10,10,2
"48",105.270670566473,3,"0.5",10,10,2
"49",105,4,"0.5",10,10,2
"50",105.270670566473,5,"0.5",10,10,2
"51",62.0681070582572,1,"1",10,10,2
"52",103.023645505961,2,"1",10,10,2
"53",110.343674513678,3,"1",10,10,2
"54",110.343674513678,4,"1",10,10,2
"55",110.343674513678,5,"1",10,10,2
"56",103.239884362684,1,"2",10,10,2
"57",115.87139512509,2,"2",10,10,2
"58",116.415267319489,3,"2",10,10,2
"59",116.415267319489,4,"2",10,10,2
"60",116.641103273124,5,"2",10,10,2
"61",120.601134285077,1,"5",10,10,2
"62",127.246759726123,2,"5",10,10,2
"63",127.246759726123,3,"5",10,10,2
"64",127.246759726123,4,"5",10,10,2
"65",127.246759726123,5,"5",10,10,2
"66",141.536386114387,1,"10",10,10,2
"67",141.536386114387,2,"10",10,10,2
"68",141.536386114387,3,"10",10,10,2
"69",141.536386114387,4,"10",10,10,2
"70",141.536386114387,5,"10",10,10,2
"71",28,1,"0.05",10,10,3
"72",207,2,"0.05",10,10,3
"73",207,3,"0.05",10,10,3
"74",207,4,"0.05",10,10,3
"75",207,5,"0.05",10,10,3
"76",28,1,"0.1",10,10,3
"77",207,2,"0.1",10,10,3
